Zone, Enrollment, PwD-Status, PaperCode1, PaperCode2, registrationId1, registrationId1, City-Choice1, City-Choice2, City-Choice3, ChoiceNumber
Zone7, C124P45, true, MA, null, null, null, 56, 49, 11, -1
Zone3, C100X67, true, PH, null, null, null, 18, 27, 62, -1
Zone5, C103Q55, false, BL, BT, null, null, 37, 35, 18, 1
Zone5, C101J83, false, BL, BT, null, null, 37, 40, 35, 1
Zone3, C100W73, true, PH, BT, null, null, 18, 27, 62, -1
Zone5, C100Q95, false, BL, BT, null, null, 37, 35, 40, 1
Zone3, C105D35, true, PH, null, null, null, 18, 27, 21, -1
Zone3, C104R25, true, PH, null, null, null, 27, 18, 57, -1
Zone5, C107X53, false, MA, MS, null, null, 37, 40, 59, 1
Zone3, C108N50, true, MA, null, null, null, 22, 18, 27, -1
Zone4, C117S43, true, MA, null, null, null, 31, 30, 34, -1
Zone5, C112X28, true, MA, null, null, null, 39, 40, 36, -1
Zone3, C103D96, true, PH, null, null, null, 27, 18, 62, -1
Zone5, C109S57, false, BL, BT, null, null, 37, 40, 27, 1
Zone5, C111Q42, false, PH, CY, null, null, 37, 35, 61, 1
Zone5, C116S74, true, GG, null, null, null, 35, 39, 62, -1
Zone5, C102W81, false, MA, CY, null, null, 37, 40, 62, 1
Zone3, C110F71, true, CY, null, null, null, 20, 27, 62, -1
Zone5, C112G36, false, PH, CY, null, null, 37, 40, 61, 1
Zone3, C112C91, true, MA, null, null, null, 27, 18, 20, -1
Zone5, C114C62, false, PH, CY, null, null, 37, 40, 61, 1
Zone4, C114T83, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C115G90, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C123X31, true, CY, null, null, null, 27, 18, 19, 1
Zone4, C120N18, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C115H40, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C118E75, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C107Y56, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C127Q44, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C109K58, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C111B91, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C111A80, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C112N28, false, BT, null, null, null, 31, 30, 34, -1
Zone4, C105R19, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C115G79, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C115V42, false, CY, null, null, null, 31, 30, 34, -1
Zone5, C115J72, true, PH, null, null, null, 39, 40, 36, -1
Zone4, C116B60, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C113K75, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C118E67, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C113Q91, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C113R13, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C108S85, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C116M49, false, CY, null, null, null, 31, 30, 44, -1
Zone3, C116C10, true, PH, null, null, null, 19, 27, 62, -1
Zone4, C105H45, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C113Q97, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C115Z77, false, BT, null, null, null, 31, 30, 44, -1
Zone4, C105R18, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C116H65, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C116A99, false, GG, null, null, null, 31, 30, 44, -1
Zone5, C114Y57, true, PH, null, null, null, 40, 39, 36, -1
Zone4, C116B91, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C111X87, false, GG, null, null, null, 31, 30, 12, -1
Zone4, C113S39, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C116R98, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C117B66, false, CY, null, null, null, 31, 30, 10, -1
Zone5, C113G46, false, BL, BT, null, null, 37, 40, 61, 1
Zone4, C106G89, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C115B73, false, GG, null, null, null, 31, 30, 12, -1
Zone4, C116R67, false, CY, null, null, null, 31, 30, 44, -1
Zone3, C123Y51, true, PH, null, null, null, 27, 18, 19, -1
Zone5, C117B29, true, MA, null, null, null, 39, 40, 35, -1
Zone4, C117K84, false, CY, null, null, null, 31, 30, 44, -1
Zone5, C120W50, false, BL, BT, null, null, 37, 40, 27, 1
Zone4, C110P94, false, GG, null, null, null, 31, 30, 12, -1
Zone4, C106W36, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C104D95, false, GG, null, null, null, 31, 30, 44, -1
Zone3, C118A96, true, CY, null, null, null, 27, 19, 20, 1
Zone5, C121T32, false, BL, BT, null, null, 37, 40, 61, 1
Zone4, C121K31, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C119V44, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C118G44, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C112H17, false, CY, null, null, null, 31, 30, 34, -1
Zone5, C117A24, true, CY, null, null, null, 41, 36, 40, 1
Zone3, C118Y37, true, CY, null, null, null, 27, 18, 20, 1
Zone4, C119R80, false, CY, null, null, null, 31, 30, 1, -1
Zone4, C118G22, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C118V34, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C104J41, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C118C37, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C113Y39, false, CY, null, null, null, 27, 21, 19, -1
Zone3, C104D47, false, CY, null, null, null, 27, 18, 19, -1
Zone5, C117S80, false, BL, CY, null, null, 37, 40, 57, 1
Zone3, C117U38, false, CY, null, null, null, 27, 18, 60, -1
Zone3, C115T32, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C117A47, false, CY, null, null, null, 27, 18, 20, -1
Zone4, C118F70, false, GG, null, null, null, 31, 30, 34, -1
Zone3, C116P45, false, CY, null, null, null, 27, 18, 20, -1
Zone4, C116R92, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C104H51, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C109D46, false, CY, null, null, null, 27, 18, 61, -1
Zone3, C106K90, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C107A61, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C118V52, false, BT, null, null, null, 27, 18, 21, -1
Zone3, C119V31, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C107H52, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C118V42, false, CY, null, null, null, 27, 19, 21, -1
Zone3, C120G37, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C100V93, false, GG, null, null, null, 27, 18, 20, -1
Zone5, C113G44, true, PH, null, null, null, 40, 36, 41, -1
Zone3, C118W38, false, MS, null, null, null, 27, 18, 21, -1
Zone4, C105R14, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C116B44, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C114G65, false, CY, null, null, null, 27, 18, 59, -1
Zone3, C119M61, false, MS, null, null, null, 27, 18, 20, -1
Zone3, C111Q16, false, CY, null, null, null, 27, 21, 18, -1
Zone3, C120G15, false, MS, null, null, null, 27, 18, 21, -1
Zone3, C119H90, false, CY, null, null, null, 27, 21, 18, -1
Zone5, C118P82, false, BL, BT, null, null, 37, 40, 27, 1
Zone3, C118X44, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C116B82, false, CY, null, null, null, 27, 18, 36, -1
Zone3, C118T88, false, CY, null, null, null, 27, 18, 30, -1
Zone3, C118X45, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C113G62, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C110S64, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C105A24, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C107Z39, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C114Y29, false, CY, null, null, null, 27, 21, 19, -1
Zone3, C118B90, false, CY, null, null, null, 27, 18, 58, -1
Zone3, C117C37, false, CY, null, null, null, 27, 18, 62, -1
Zone5, C120G79, false, PH, CY, null, null, 37, 40, 57, 1
Zone3, C107P55, false, CY, null, null, null, 27, 18, 62, -1
Zone5, C123V84, true, CY, null, null, null, 40, 36, 18, -1
Zone3, C122P50, true, PH, null, null, null, 27, 18, 37, -1
Zone3, C119W15, false, CY, null, null, null, 27, 19, 18, -1
Zone3, C118C32, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C118E32, false, CY, null, null, null, 27, 21, 63, -1
Zone3, C111Z73, false, MS, null, null, null, 27, 21, 22, -1
Zone3, C109T92, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C119Q83, false, MS, null, null, null, 27, 18, 62, -1
Zone3, C119M81, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C119M97, false, CY, null, null, null, 27, 18, 22, -1
Zone3, C100U29, false, GG, null, null, null, 27, 18, 20, -1
Zone4, C108Z58, false, GG, null, null, null, 31, 30, 44, -1
Zone3, C113G15, false, CY, null, null, null, 27, 21, 62, -1
Zone3, C112Q91, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C123F26, false, BT, null, null, null, 27, 18, 20, -1
Zone3, C121Y91, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C121V88, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C119X77, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C109F32, false, CY, null, null, null, 27, 18, 21, -1
Zone5, C123C70, true, CY, null, null, null, 36, 39, 41, -1
Zone4, C117U26, false, CY, null, null, null, 31, 30, 44, -1
Zone3, C119X74, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C117X93, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C117W85, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C107E37, false, CY, null, null, null, 27, 18, 62, -1
Zone4, C109P98, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C117Y67, true, MA, null, null, null, 27, 21, 62, -1
Zone3, C109T57, false, CY, null, null, null, 27, 21, 62, -1
Zone3, C103R19, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C115G44, false, BT, null, null, null, 27, 18, 62, -1
Zone3, C119D14, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C112Q66, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C111R47, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C117D74, false, BT, null, null, null, 27, 18, 42, -1
Zone3, C117B80, false, BT, null, null, null, 27, 18, 21, -1
Zone3, C117C31, false, CY, null, null, null, 27, 21, 19, -1
Zone3, C116G51, false, CY, null, null, null, 27, 18, 20, -1
Zone4, C118Q79, false, CY, null, null, null, 31, 30, 18, -1
Zone3, C117P95, false, CY, null, null, null, 27, 21, 18, -1
Zone4, C117X47, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C121J13, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C109K92, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C103G32, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C114Q14, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C103H80, false, BT, null, null, null, 27, 18, 33, -1
Zone4, C119E86, false, CY, null, null, null, 31, 30, 27, -1
Zone4, C119E89, false, CY, null, null, null, 31, 30, 44, -1
Zone3, C106V21, false, GG, null, null, null, 27, 18, 57, -1
Zone3, C114P33, false, MS, null, null, null, 27, 18, 21, -1
Zone3, C123V80, false, CY, null, null, null, 27, 19, 18, -1
Zone4, C100X35, false, CY, null, null, null, 31, 30, 44, -1
Zone3, C119W25, false, CY, null, null, null, 27, 19, 18, -1
Zone3, C119N62, false, BT, null, null, null, 27, 18, 19, -1
Zone3, C119V69, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C104M17, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C116T55, false, CY, null, null, null, 27, 20, 62, -1
Zone3, C105W39, false, CY, null, null, null, 27, 18, 21, -1
Zone4, C118R94, false, MA, null, null, null, 31, 30, 34, -1
Zone4, C118Q17, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C118P79, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C118Q32, false, CY, null, null, null, 27, 21, 18, -1
Zone4, C106Z65, false, PH, null, null, null, 31, 30, 44, -1
Zone3, C119P48, false, BT, null, null, null, 27, 18, 19, -1
Zone3, C126M53, false, BT, null, null, null, 27, 18, 62, -1
Zone3, C100X88, false, GG, null, null, null, 27, 18, 62, -1
Zone4, C119B61, false, MA, null, null, null, 31, 30, 44, -1
Zone4, C116N25, false, PH, null, null, null, 31, 30, 33, -1
Zone3, C122J59, false, MS, null, null, null, 27, 18, 19, -1
Zone3, C120H81, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C119P92, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C119R52, false, MS, null, null, null, 27, 21, 62, -1
Zone4, C117C61, false, BL, null, null, null, 31, 30, 44, -1
Zone3, C118B26, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C118B50, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C119A10, false, CY, null, null, null, 27, 18, 62, -1
Zone4, C123P33, false, PH, null, null, null, 31, 30, 44, -1
Zone3, C119Y72, false, CY, null, null, null, 27, 21, 26, -1
Zone4, C118Z65, false, PH, null, null, null, 31, 30, 34, -1
Zone4, C109Y62, false, PH, null, null, null, 31, 30, 34, -1
Zone3, C119Y25, false, CY, null, null, null, 27, 18, 21, -1
Zone5, C115D98, false, BL, BT, null, null, 37, 35, 18, 1
Zone3, C118X99, false, CY, null, null, null, 27, 18, 22, -1
Zone4, C119M58, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C123C78, false, BL, null, null, null, 31, 30, 34, -1
Zone3, C119W26, false, CY, null, null, null, 27, 19, 18, -1
Zone4, C124H94, false, CY, null, null, null, 31, 30, 2, -1
Zone3, C125A41, false, CY, null, null, null, 27, 18, 35, -1
Zone3, C120A33, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C122M98, false, BT, null, null, null, 27, 18, 62, -1
Zone3, C115C13, false, BT, null, null, null, 27, 18, 62, -1
Zone4, C118E63, false, CY, null, null, null, 31, 30, 44, -1
Zone3, C117Q75, false, CY, null, null, null, 27, 18, 61, -1
Zone5, C122S21, false, BL, BT, null, null, 37, 40, 18, 1
Zone3, C126W88, false, MS, null, null, null, 27, 18, 20, -1
Zone3, C100U79, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C117X40, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C117H74, false, CY, null, null, null, 27, 18, 19, -1
Zone4, C119F62, false, CY, null, null, null, 31, 30, 44, -1
Zone3, C119R60, false, BT, null, null, null, 27, 19, 18, -1
Zone3, C112M66, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C119P35, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C118B15, false, CY, null, null, null, 27, 18, 57, -1
Zone4, C117H34, false, PH, null, null, null, 31, 30, 34, -1
Zone3, C123R16, false, BT, null, null, null, 27, 20, 40, -1
Zone3, C119Y53, false, CY, null, null, null, 27, 18, 21, -1
Zone5, C110T83, true, BT, null, null, null, 41, 36, 40, 1
Zone3, C108V26, false, BT, null, null, null, 27, 18, 21, -1
Zone4, C120A67, false, MA, null, null, null, 31, 30, 44, -1
Zone5, C119Z41, true, MS, null, null, null, 35, 38, 23, -1
Zone3, C110E68, false, CY, null, null, null, 27, 23, 38, -1
Zone3, C100W52, false, CY, null, null, null, 27, 18, 22, -1
Zone3, C113G63, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C113C72, false, CY, null, null, null, 27, 21, 18, -1
Zone3, C113Z99, false, CY, null, null, null, 27, 21, 59, -1
Zone4, C105R23, false, GG, null, null, null, 31, 30, 44, -1
Zone3, C101F44, true, CY, null, null, null, 27, 20, 18, -1
Zone3, C109T55, false, CY, null, null, null, 27, 21, 62, -1
Zone3, C110T28, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C118U23, false, CY, null, null, null, 27, 18, 62, -1
Zone4, C117B52, false, PH, null, null, null, 31, 30, 34, -1
Zone3, C116U72, false, CY, null, null, null, 27, 24, 35, -1
Zone3, C103Q58, false, CY, null, null, null, 27, 18, 19, -1
Zone4, C116X23, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C119X67, true, MA, null, null, null, 18, 27, 20, -1
Zone3, C120B37, false, CY, null, null, null, 27, 21, 19, -1
Zone3, C123G39, false, CY, null, null, null, 27, 18, 25, -1
Zone3, C123G37, false, CY, null, null, null, 27, 18, 25, -1
Zone3, C119T59, false, CY, null, null, null, 27, 18, 62, -1
Zone4, C120A57, false, MS, null, null, null, 31, 30, 27, -1
Zone4, C120N65, false, MA, null, null, null, 31, 30, 41, -1
Zone3, C108W48, false, BT, null, null, null, 27, 21, 18, -1
Zone4, C115T99, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C120D19, false, CY, null, null, null, 27, 18, 16, -1
Zone4, C127A94, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C106M97, false, MS, null, null, null, 27, 18, 62, -1
Zone4, C121B19, false, PH, null, null, null, 31, 30, 18, -1
Zone3, C120Q19, false, CY, null, null, null, 27, 20, 62, -1
Zone3, C114E93, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C120Q38, false, CY, null, null, null, 27, 20, 18, -1
Zone3, C119C65, false, CY, null, null, null, 27, 18, 40, -1
Zone3, C120F68, false, CY, null, null, null, 27, 20, 18, -1
Zone3, C128G59, false, CY, null, null, null, 27, 20, 40, -1
Zone3, C104N34, false, CY, null, null, null, 27, 20, 18, -1
Zone3, C106D97, false, GG, null, null, null, 27, 18, 62, -1
Zone3, C106D93, false, GG, null, null, null, 27, 18, 62, -1
Zone3, C120R14, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C106D92, false, GG, null, null, null, 27, 18, 62, -1
Zone3, C120H80, false, MS, null, null, null, 27, 21, 62, -1
Zone3, C114R98, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C121A48, false, CY, null, null, null, 27, 21, 18, -1
Zone4, C120K38, false, MA, null, null, null, 31, 30, 44, -1
Zone3, C120R12, false, CY, null, null, null, 27, 18, 20, -1
Zone4, C120B22, false, CY, null, null, null, 31, 30, 44, -1
Zone3, C120H35, false, BT, null, null, null, 27, 18, 24, -1
Zone3, C124V41, false, MS, null, null, null, 27, 18, 62, -1
Zone3, C123H47, false, CY, null, null, null, 27, 19, 20, -1
Zone3, C120S57, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C118A81, false, CY, null, null, null, 27, 20, 21, -1
Zone3, C121S99, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C120T84, false, CY, null, null, null, 27, 20, 21, -1
Zone3, C120C95, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C117F88, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C121N58, false, CY, null, null, null, 27, 18, 20, -1
Zone4, C121C20, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C118C78, false, PH, null, null, null, 31, 30, 18, -1
Zone3, C103B92, false, MS, null, null, null, 27, 18, 62, -1
Zone3, C111U35, false, CY, null, null, null, 27, 18, 62, -1
Zone4, C121D55, false, BL, null, null, null, 31, 30, 34, -1
Zone4, C121J63, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C121C80, false, CY, null, null, null, 27, 18, 33, -1
Zone3, C121D96, false, MS, null, null, null, 27, 21, 62, -1
Zone4, C123X77, false, PH, null, null, null, 31, 30, 34, -1
Zone3, C113W84, false, MS, null, null, null, 27, 20, 18, -1
Zone3, C115Y44, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C122H62, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C120K60, false, CY, null, null, null, 27, 21, 18, -1
Zone3, C120F71, false, MS, null, null, null, 27, 21, 19, -1
Zone3, C119Z23, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C114S19, false, CY, null, null, null, 27, 21, 18, -1
Zone3, C121C64, false, MS, null, null, null, 27, 21, 62, -1
Zone3, C115Z83, false, CY, null, null, null, 27, 18, 62, -1
Zone4, C121G84, false, PH, null, null, null, 31, 30, 34, -1
Zone3, C122G11, false, BT, null, null, null, 27, 18, 62, -1
Zone3, C121H23, false, MS, null, null, null, 27, 18, 62, -1
Zone3, C119X19, false, CY, null, null, null, 27, 18, 20, -1
Zone4, C102Q25, false, MA, null, null, null, 31, 30, 44, -1
Zone3, C122P37, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C116J35, false, BT, null, null, null, 27, 18, 20, -1
Zone5, C122D70, false, BL, CY, null, null, 37, 40, 39, 1
Zone3, C121H96, false, CY, null, null, null, 27, 21, 18, -1
Zone4, C115Z17, false, CY, null, null, null, 31, 30, 18, -1
Zone3, C115Z26, false, CY, null, null, null, 27, 19, 18, -1
Zone4, C121Y97, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C117V60, false, BT, null, null, null, 27, 18, 19, -1
Zone3, C123V78, false, CY, null, null, null, 27, 18, 21, -1
Zone4, C124H56, false, PH, null, null, null, 31, 30, 27, -1
Zone3, C117W80, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C117K36, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C117K32, false, CY, null, null, null, 27, 18, 62, -1
Zone4, C122S35, false, BL, null, null, null, 31, 30, 34, -1
Zone3, C103P64, false, CY, null, null, null, 27, 18, 57, -1
Zone3, C112B65, false, CY, null, null, null, 27, 20, 19, -1
Zone3, C105H23, false, GG, null, null, null, 27, 18, 62, -1
Zone3, C121B65, false, CY, null, null, null, 27, 21, 24, -1
Zone3, C122E51, false, CY, null, null, null, 27, 21, 18, -1
Zone4, C127Q78, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C123F91, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C112D80, false, PH, null, null, null, 31, 30, 34, -1
Zone4, C122E41, false, BL, null, null, null, 31, 30, 44, -1
Zone3, C118M13, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C121P62, false, CY, null, null, null, 27, 18, 20, -1
Zone4, C121Z15, false, GG, null, null, null, 31, 30, 34, -1
Zone3, C121P65, false, CY, null, null, null, 27, 21, 18, -1
Zone3, C121N60, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C120E70, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C113B19, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C118M12, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C121P95, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C121P97, false, BT, null, null, null, 27, 18, 62, -1
Zone3, C118V80, false, CY, null, null, null, 27, 21, 59, -1
Zone3, C121M56, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C112Y36, false, CY, null, null, null, 27, 18, 20, -1
Zone5, C126C99, true, BT, null, null, null, 39, 40, 27, -1
Zone3, C113D40, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C122D87, false, MS, null, null, null, 27, 21, 18, -1
Zone3, C109P18, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C121P92, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C115Q59, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C124P51, false, CY, null, null, null, 27, 18, 33, -1
Zone3, C122G42, false, CY, null, null, null, 27, 18, 22, -1
Zone3, C120M21, false, CY, null, null, null, 27, 20, 18, -1
Zone4, C108C58, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C126E99, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C121P85, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C128D14, false, BT, null, null, null, 27, 18, 21, -1
Zone5, C113U69, true, PH, null, null, null, 36, 39, 18, -1
Zone4, C122E98, false, BL, null, null, null, 31, 30, 44, -1
Zone3, C121X95, false, MS, null, null, null, 27, 18, 35, -1
Zone3, C120D75, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C105V80, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C127A65, false, CY, null, null, null, 27, 18, 20, -1
