application_id,New Choice,OldChoice
C118V50,20,19
C115H24,20,19
C103N75,20,19
C103N49,20,19
C120S94,20,19
C111E62,20,19
C127N63,20,19
C127N53,20,19
C113H11,21,27
C114M62,21,27
C107A57,21,27
C111Q85,21,27
C112E81,20,27
C113A32,20,27
C100P38,18,27
C103T27,21,27
C117S62,21,27
C111D45,20,27
C110U37,21,27
C100V67,20,27
C104E70,20,27
C112V71,20,27
C113X48,20,27
C106Y33,21,27
C112E85,21,27
C112B50,20,27
C111E90,21,27
C100Q69,20,27
C113J95,20,27
C106X88,21,27
C113F74,20,27
C113P73,20,27
C113N32,20,27
C106Q88,20,27
C100M44,18,27
C112U14,20,27
C112Q19,21,27
C101A50,21,27
C111M47,21,27
C103T38,21,27
C113P69,20,27
C114W98,20,27
C112Q39,20,27
C111P43,18,27
C113T51,20,27
C114N71,21,27
C113A39,21,27
C114J97,21,27
C114P32,21,27
C111C12,18,27
C113Z66,18,27
C109T26,20,27
C117S10,21,27
C114F12,21,27
C110P98,20,27
C113P66,20,27
C104K80,19,27
C111G26,21,27
C112B83,20,27
C117C86,20,27
C102Y93,18,27
C103M53,20,27
C110F47,21,27
C116E68,18,27
C113U78,21,27
C111E49,21,27
C113S35,21,27
C103P80,20,27
C103Y80,21,27
C110X44,20,27
C112P39,20,27
C105B15,18,27
C112K11,20,27
C109K34,20,27
C112C91,20,27
C111X63,21,27
C107D60,20,27
C110U55,21,27
C109T82,21,27
C108S49,18,27
C107X92,21,27
C111D90,20,27
C101Z92,20,27
C108T97,21,27
C102B90,20,27
C111H51,21,27
C113S36,20,27
C111K20,20,27
C116D89,18,27
C111K84,20,27
C120W85,21,27
C109N28,20,27
C111N57,18,27
C111Q79,19,27
C108Q40,20,27
C111D76,20,27
C106R98,19,27
C115E57,20,27
C105Q41,20,27
C103T45,20,27
C100Z58,20,27
C117R72,21,27
C110U89,21,27
C111D27,20,27
C107S88,20,27
C111T41,21,27
C111D43,20,27
C109F33,21,27
C111E97,18,27
C108W53,18,27
C103F86,18,27
C116J52,20,27
C111N58,20,27
C112J60,21,27
C106P24,21,27
C112Z19,21,27
C108S29,21,27
C118C80,20,27
C100R86,20,27
C111F23,21,27
C108A96,20,27
C113F15,20,27
C104F45,20,27
C112K96,21,27
C112M98,21,27
C112E45,20,27
C112C39,20,27
C121X80,20,27
C108V96,18,27
C115S60,20,27
C109Y60,18,27
C111P55,21,27
C110G91,21,27
C109V79,18,27
C121U48,18,27
C103N45,20,27
C112E64,20,27
C101S20,18,27
C111E23,20,27
C120F36,20,27
C112N59,21,27
C111T85,20,27
C111E38,20,27
C110H75,20,27
C113R96,20,27
C112J18,20,27
C112A16,21,27
C104Z52,18,27
C111V64,20,27
C108W38,18,27
C115E30,21,27
C111E33,19,27
C116W82,21,27
C116C45,20,27
C113D76,21,27
C115T48,21,27
C110B23,21,27
C116D61,20,27
C101P27,21,27
C106U37,20,27
C110Z84,20,27
C114S20,21,27
C115C15,21,27
C100B67,18,27
C102G51,21,27
C119F59,20,27
C113T73,21,27
C115P74,20,27
C120H18,20,27
C115F43,20,27
C113E43,18,27
C111U83,21,27
C115Q56,20,27
C115Q95,20,27
C115Q97,20,27
C110P62,21,27
C108N37,21,27
C115R47,18,27
C112T29,20,27
C115T15,18,27
C115T44,20,27
C107M81,20,27
C103J32,18,27
C105M21,21,27
C115T69,21,27
C116A87,19,27
C117U31,21,27
C114S16,21,27
C123U20,20,27
C115T39,18,27
C124N54,21,27
C116H23,21,27
C113Z87,20,27
C100T38,18,27
C115S18,21,27
C116Q24,18,27
C116R70,18,27
C117H98,20,27
C104A87,18,27
C116P47,18,27
C106P45,21,27
C115T68,21,27
C115T66,21,27
C107U26,21,27
C111Q78,19,27
C114Y62,20,27
C116A92,21,27
C116D82,18,27
C116D34,18,27
C116X74,21,27
C111C92,21,27
C115M40,21,27
C116C18,18,27
C111G31,21,27
C107W29,21,27
C116X82,21,27
C111J37,21,27
C106X86,18,27
C115Z48,20,27
C109H67,21,27
C110C68,21,27
C114N56,20,27
C115Z44,20,27
C113W54,21,27
C111C48,20,27
C104H43,20,27
C113V89,21,27
C111D15,20,27
C120B77,20,27
C106U38,20,27
C114S12,21,27
C114Y24,21,27
C114U69,21,27
C119F78,19,27
C114K95,21,27
C114X54,18,27
C107G18,21,27
C114X74,21,27
C115T67,21,27
C113Y12,21,27
C113V56,21,27
C104P84,20,27
C106H53,20,27
C113A53,20,27
C109V83,21,27
C118E82,21,27
C121Y67,21,27
C127X19,21,27
C114S17,21,27
C114V73,21,27
C114J13,20,27
C114X21,21,27
C101N80,21,27
C114F84,21,27
C114B17,20,27
C112Y86,20,27
C114F76,21,27
C114N25,18,27
C109Z32,20,27
C104M23,21,27
C114N28,21,27
C107N24,18,27
C101G32,21,27
C104Q93,21,27
C114Y23,21,27
C114A48,21,27
C113B58,21,27
C116K44,20,27
C106N72,21,27
C113H81,20,27
C110T13,20,27
C114H83,20,27
C113P65,20,27
C112N75,19,27
C118C41,21,27
C109G97,20,27
C114N37,20,27
C114M79,21,27
C114B41,20,27
C105W58,20,27
C109M57,21,27
C115X14,19,27
C121W68,20,27
C105H43,21,27
C114Z10,18,27
C122P43,20,27
C117R53,21,27
C102R83,20,27
C126N13,20,27
C123X31,18,27
C106Q96,20,27
C108Y56,20,27
C103M85,20,27
C128K81,20,27
C103U28,18,27
C105E83,21,27
C107Y49,21,27
C106W96,21,27
C100G11,18,27
C105W37,21,27
C103P81,18,27
C100V55,20,27
C108R23,18,27
C108K64,20,27
C105M24,20,27
C108G78,21,27
C105M70,20,27
C103U27,18,27
C101D18,20,27
C110D29,18,27
C110A46,18,27
C104J15,18,27
C117R70,21,27
C100Z18,21,27
C105X55,18,27
C102P97,20,27
C110T25,18,27
C104P76,20,27
C111C67,18,27
C102Q83,20,27
C109G49,20,27
C102P55,20,27
C104X80,21,27
C101X33,18,27
C104Y36,20,27
C104D53,21,27
C108Q51,18,27
C101S79,21,27
C102N26,20,27
C106C64,21,27
C113E52,20,27
C101M72,20,27
C101U39,18,27
C103S75,21,27
C116C30,21,27
C115X94,21,27
C100A37,20,27
C104M72,20,27
C119V78,21,27
C117C24,20,27
C110R85,21,27
C106R35,20,27
C101T55,21,27
C104U60,20,27
C100N89,21,27
C102B31,20,27
C102T89,20,27
C120V86,21,27
C105N66,19,27
C104A88,20,27
C104D35,19,27
C105D89,18,27
C101K24,20,27
C120V31,21,27
C109V10,18,27
C109N99,20,27
C113C86,21,27
C103B75,21,27
C111D20,20,27
C106Z29,20,27
C103X18,20,27
C101H78,18,27
C120V26,21,27
C104P70,18,27
C102G31,19,27
C100Q87,20,27
C100R92,21,27
C109D54,21,27
C112M27,21,27
C103Z51,20,27
C108D58,21,27
C103B96,20,27
C104A79,20,27
C104Q22,21,27
C106M96,20,27
C104Q59,18,27
C103C20,20,27
C101R82,20,27
C101T95,20,27
C100D63,20,27
C105Z71,21,27
C114Y19,21,27
C101H49,18,27
C104B61,21,27
C109E71,21,27
C101X74,21,27
C102W35,21,27
C109M10,20,27
C114S18,21,27
C102U96,20,27
C109T56,21,27
C105R95,21,27
C110Q60,20,27
C108K53,21,27
C106A15,20,27
C104P51,20,27
C100N16,20,27
C102A34,21,27
C100A33,21,27
C100Z26,21,27
C110F35,18,27
C117P96,21,27
C101W33,21,27
C103T19,18,27
C100S45,21,27
C101X82,20,27
C105V61,20,27
C104V67,21,27
C103W43,21,27
C100A28,20,27
C100S30,20,27
C110Q23,20,27
C112N24,20,27
C101T59,21,27
C112P50,20,27
C103B94,20,27
C102C31,21,27
C104H57,20,27
C115T49,21,27
C110A66,21,27
C103G98,20,27
C100R26,18,27
C105Z34,21,27
C113X44,21,27
C102C21,21,27
C117P34,21,27
C104V30,20,27
C102Y91,20,27
C121A30,21,27
C100S80,21,27
C106R33,20,27
C100B22,21,27
C104V64,21,27
C105P32,21,27
C109S10,20,27
C110B63,21,27
C109K88,20,27
C108K63,20,27
C109J36,19,27
C107K16,21,27
C114B51,20,27
C104G63,20,27
C107F40,21,27
C109M11,21,27
C107G90,20,27
C113X93,20,27
C114B35,20,27
C102U74,20,27
C109T60,21,27
C100A40,20,27
C102A67,20,27
C113Q27,21,27
C108Z91,21,27
C113T78,20,27
C107U55,18,27
C106P83,21,27
C125G80,20,27
C113R20,20,27
C108Q20,20,27
C109F73,20,27
C109Q72,21,27
C125G69,19,27
C111C91,20,27
C100X62,20,27
C103P19,21,27
C102Z43,21,27
C105Q33,20,27
C111Q24,21,27
C100M77,20,27
C121X48,20,27
C110N33,20,27
C110K24,21,27
C110Q52,21,27
C104N13,18,27
C110R53,21,27
C104K18,20,27
C107K99,18,27
C110Q53,21,27
C103A30,20,27
C108Y88,20,27
C108P61,20,27
C105Y44,21,27
C110M43,21,27
C100K96,20,27
C106P21,21,27
C116P75,18,27
C109F39,21,27
C110A64,21,27
C101J65,20,27
C109T59,21,27
C116S69,20,27
C116K36,20,27
C106H21,20,27
C109W33,20,27
C106J92,21,27
C110N24,20,27
C109T58,21,27
C102C61,20,27
C110Q51,21,27
C102C70,20,27
C110N79,21,27
C104S93,21,27
C110Q18,20,27
C100A73,21,27
C109Z71,20,27
C100E60,20,27
C108G62,21,27
C107D16,21,27
C101G94,19,27
C112N56,20,27
C112P70,20,27
C103E28,18,27
C104A59,20,27
C107C88,20,27
C103S35,20,27
C100G30,21,27
C110D76,20,27
C117R90,21,27
C115Y26,19,27
C100S13,20,27
C110D83,20,27
C108Y80,21,27
C106M52,21,27
C106W74,21,27
C108Y61,20,27
C108Z53,20,27
C108Z64,21,27
C100Q23,20,27
C102A70,20,27
C105Z26,21,27
C106C27,21,27
C107K17,20,27
C105U94,21,27
C104G82,21,27
C104F65,20,27
C105N89,18,27
C105S92,20,27
C106X63,20,27
C102F37,20,27
C100Q59,20,27
C105Z57,20,27
C108V36,20,27
C108H21,21,27
C108U94,20,27
C107Z63,18,27
C103N54,21,27
C104C42,18,27
C108W39,20,27
C114D38,21,27
C100M28,21,27
C127U35,18,27
C106A81,18,27
C102R16,20,27
C108W66,21,27
C107U13,21,27
C108K65,20,27
C101J67,20,27
C100U38,18,27
C105A34,21,27
C104W64,20,27
C105Q99,20,27
C107K69,18,27
C103Q26,20,27
C101C87,20,27
C104W40,20,27
C107X72,20,27
C108U47,20,27
C117V90,18,27
C109V22,21,27
C108H22,21,27
C109F78,20,27
C100S21,20,27
C118G47,21,27
C109N56,19,27
C108C81,21,27
C106S20,18,27
C104K14,20,27
C125F20,21,27
C105H90,20,27
C126J70,18,27
C124U57,20,27
C109K27,20,27
C122R92,20,27
C124T76,20,27
C126A50,20,27
C117D97,20,27
C116M12,20,27
C113T76,20,27
C121A24,21,27
C124M76,20,27
C106U23,18,27
C117C16,21,27
C114A97,20,27
C116J90,20,27
C123C19,21,27
C124E15,20,27
C124U43,20,27
C117A39,21,27
C123T11,18,27
C122M35,20,27
C123E84,20,27
C117S40,21,27
C125S34,20,27
C118E95,20,27
C116X59,20,27
C123R51,21,27
C124H79,21,27
C123W23,18,27
C116C46,20,27
C115T43,20,27
C105X44,20,27
C122Q80,20,27
C115D70,20,27
C127N99,20,27
C117G40,18,27
C123P28,18,27
C118W18,19,27
C115Q28,20,27
C102E75,20,27
C120R73,20,27
C125C46,20,27
C127D72,20,27
C125Z43,21,27
C124R89,18,27
C122K48,21,27
C126A93,21,27
C127D40,21,27
C116G22,21,27
C121K17,21,27
C125Y13,21,27
C115E63,21,27
C122P19,21,27
C123V39,18,27
C121Z81,20,27
C105F84,20,27
C102U41,20,27
C122Z91,20,27
C126J42,20,27
C125A94,18,27
C119R25,20,27
C125G45,20,27
C121B87,20,27
C125A38,21,27
C125J18,21,27
C120X11,20,27
C118H28,20,27
C125D32,18,27
C116G11,20,27
C124C80,21,27
C121H13,20,27
C121X51,21,27
C120J51,21,27
C119X70,20,27
C120F79,18,27
C123P79,21,27
C125W24,20,27
C121Y78,20,27
C106S76,18,27
C122H94,21,27
C122Z70,21,27
C121N14,20,27
C121M90,20,27
C121K60,21,27
C122Z97,20,27
C104H67,20,27
C124Q24,18,27
C118C95,20,27
C116R80,21,27
C118P75,20,27
C115E64,21,27
C109U76,21,27
C122V69,18,27
C122V67,21,27
C120Y36,21,27
C119R20,21,27
C118A22,21,27
C115Q49,18,27
C116J31,21,27
C117H32,20,27
C116B41,18,27
C121N99,18,27
C123F48,20,27
C120T65,19,27
C116J53,20,27
C121K40,18,27
C120Z87,21,27
C123U13,20,27
C122B83,18,27
C109A89,20,27
C101N20,20,27
C119E25,20,27
C124R34,20,27
C110H56,20,27
C109F41,18,27
C118C33,20,27
C121Y50,18,27
C123Q78,20,27
C127G60,18,27
C123V57,20,27
C107B10,20,27
C117J20,21,27
C111J56,20,27
C121S34,21,27
C120Z49,21,27
C109B76,18,27
C118U67,20,27
C123K40,21,27
C120Q99,18,27
C117B20,18,27
C121U13,20,27
C101A38,20,27
C123G42,20,27
C117J48,21,27
C117G10,21,27
C122P92,20,27
C124T55,20,27
C120G90,20,27
C112Z95,20,27
C115G45,20,27
C121X96,21,27
C121A70,21,27
C114P90,20,27
C127A64,21,27
C127Q84,21,27
C123D58,20,27
C128J17,21,27
C126C55,20,27
C102C34,20,27
C121A65,21,27
C127X32,20,27
C122C20,20,27
C121G70,21,27
C128K24,21,27
C115T60,20,27
C102A66,18,27
C100E20,20,27
C124U38,21,27
C127Y55,20,27
C116P46,20,27
C126P56,21,27
C121Q13,20,27
C128F59,20,27
C126E36,21,27
C101N48,20,27
C115R41,20,27
C128K77,20,27
C128F22,21,27
C123Y52,18,27
C121X24,20,27
C124F36,21,27
C110N51,21,27
C126D71,21,27
C119B90,20,27
C116R90,20,27
C118B38,21,27
C113Q30,21,27
C127V94,21,27
C101P32,21,27
C104N79,20,27
C106F91,18,27
C106M71,21,27
C113T98,21,27
C120U17,20,27
C127W49,20,27
C126E82,20,27
C117B59,20,27
C106Y86,20,27
C107Z12,20,27
C108A84,18,27
C120X75,21,27
C123Z98,21,27
C126Z49,21,27
C114M61,21,27
C119B38,20,27
C127X39,20,27
C128M90,20,27
C127P87,18,27
C121C78,18,27
C103W74,18,27
C125H85,21,27
C128P87,18,27
C121W72,20,27
C117E82,21,27
C126H97,20,27
C128S52,19,27
C128U75,21,27
C124Q70,21,27
C125U73,21,27
C128Q88,21,27
C127C94,20,27
C116N93,21,27
C125M17,21,27
C120N62,18,27
C123X43,20,27
C112Y88,20,27
C120K92,20,27
C120W97,20,27
C123K47,21,27
C115Y61,20,27
C126N66,20,27
C126E84,18,27
C126Q85,20,27
C128A57,18,27
C117C13,21,27
C102S54,21,27
C106M64,21,27
C109W55,18,27
C127R80,18,27
C126F17,18,27
C123Z79,20,27
C123E97,21,27
C109B78,21,27
C125Y43,18,27
C119W41,20,27
C107G50,18,27
C117P45,20,27
C111S10,18,27
C114Z32,20,27
C128A89,20,27
C105B20,18,27
C122P12,21,27
C125Q41,21,27
C124R73,20,27
C122U28,21,27
C127E83,20,27
C128T79,20,27
C120K45,18,27
C124B36,20,27
C118W71,21,27
C120Z23,21,27
C125M95,20,27
C126C72,20,27
C127H18,18,27
C108W67,18,27
C126R22,18,27
C118J11,19,27
C120T44,20,27
C128A30,19,27
C116K77,18,27
C127W78,21,27
C111Q59,20,27
C125D98,21,27
C106E34,21,27
C121B75,18,27
C126B22,18,27
C125D16,20,27
C100B15,21,27
C126U17,21,27
C127M84,20,27
C126Q25,20,27
C126U98,21,27
C127J67,20,27
C128F54,20,27
C101G93,20,27
C119W23,19,27
C126G13,20,27
C122K71,19,27
C116B63,21,27
C125B16,18,27
C119W89,20,27
C127V77,21,27
C117M61,20,27
C117K47,19,27
C104K63,20,27
C109F32,18,27
C117Q68,20,27
C117R71,21,27
C117X93,21,27
C117Z27,21,27
C103R32,21,27
C101F44,20,27
C109T57,21,27
C123F26,20,27
C112Q66,18,27
C111Y17,20,27
C119S66,20,27
C117C31,21,27
C116G51,20,27
C117F56,21,27
C117Y67,21,27
C118E32,21,27
C118X44,18,27
C118X45,20,27
C113G62,21,27
C124M90,21,27
C107Z39,18,27
C114Y29,21,27
C119X77,21,27
C113F85,21,27
C121V88,20,27
C111Z73,21,27
C109T92,20,27
C119M81,18,27
C100U29,18,27
C113G15,21,27
C112Q91,20,27
C103G32,18,27
C119K78,21,27
C107N86,21,27
C117P95,21,27
C126W88,18,27
C128C48,21,27
C117T12,20,27
C117X40,20,27
C114G48,20,27
C100M36,20,27
C112M66,18,27
C119Y72,21,27
C123R16,20,27
C124J52,20,27
C104F55,21,27
C113G63,18,27
C114E27,21,27
C113C72,21,27
C107Y59,20,27
C119R60,19,27
C118B77,20,27
C111Q16,21,27
C123V80,19,27
C119W25,19,27
C123C91,20,27
C119V69,18,27
C104M17,18,27
C120A33,20,27
C118Q32,21,27
C109K92,18,27
C113X95,20,27
C107B95,20,27
C115A91,21,27
C122J59,18,27
C120H81,18,27
C119P92,20,27
C119R52,21,27
C116T55,20,27
C115X51,18,27
C111V44,21,27
C104C55,18,27
C111K83,21,27
C115A66,20,27
C117A82,21,27
C125P53,21,27
C118U48,21,27
C110N78,21,27
C117P29,21,27
C118U50,18,27
C103T86,20,27
C110U18,18,27
C118A96,19,27
C119H41,20,27
C106U55,18,27
C113Z86,20,27
C117P90,21,27
C116V75,21,27
C102U65,21,27
C117H83,18,27
C127U10,18,27
C125P71,21,27
C109V33,18,27
C111H13,18,27
C114G82,20,27
C106X73,20,27
C117Y28,18,27
C113P26,19,27
C116Z28,18,27
C119M83,18,27
C114V22,18,27
C104C10,18,27
C102Y72,21,27
C116V43,18,27
C113G12,20,27
C118A55,20,27
C103X39,21,27
C113Y39,21,27
C100H71,20,27
C104D47,18,27
C102E74,20,27
C117A47,20,27
C115H32,20,27
C104H51,18,27
C111Q19,20,27
C107A61,18,27
C100V93,18,27
C108B54,20,27
C113Z89,20,27
C118N79,21,27
C119M61,20,27
C109T55,21,27
C116P45,18,27
C114U58,18,27
C104N58,18,27
C117Y83,21,27
C119J27,21,27
C104R22,19,27
C117X34,21,27
C116H61,18,27
C118Z51,21,27
C112Z14,21,27
C119H90,21,27
C120E43,18,27
C120W93,21,27
C118U73,21,27
C118Y37,18,27
C108N71,18,27
C118K17,21,27
C114N51,18,27
C114Y92,18,27
C118B19,21,27
C121H45,20,27
C120K33,20,27
C124J42,20,27
C120P74,20,27
C123H93,20,27
C121S70,20,27
C113Z99,21,27
C118N57,20,27
C118P65,20,27
C107E36,20,27
C119E80,21,27
C124K88,20,27
C117B32,18,27
C121G41,19,27
C113W37,18,27
C112N94,20,27
C121P85,18,27
C112Y36,20,27
C119D42,21,27
C121Q58,21,27
C122D87,21,27
C124A68,20,27
C121P92,18,27
C119S31,21,27
C126E99,18,27
C117Y81,18,27
C120D75,18,27
C127A65,18,27
C117J84,21,27
C123R88,21,27
C102Y24,18,27
C115G41,21,27
C118X20,20,27
C120M21,20,27
C116Z32,20,27
C121F40,20,27
C116G14,18,27
C118Y76,21,27
C116N59,19,27
C116Q19,20,27
C116B52,20,27
C114P88,20,27
C111Q53,20,27
C114R53,18,27
C117E49,20,27
C104E92,20,27
C115Q23,18,27
C113P93,20,27
C109T62,21,27
C126H21,21,27
C121B55,20,27
C117C32,20,27
C102T82,18,27
C121P16,20,27
C117D89,21,27
C122G87,21,27
C111T16,21,27
C121R65,18,27
C108J77,21,27
C114Q89,20,27
C116Z18,20,27
C123Z33,21,27
C120V95,18,27
C120Q57,20,27
C122Z99,18,27
C105C78,20,27
C118D60,18,27
C118F61,21,27
C115T16,21,27
C124K41,21,27
C120R58,20,27
C120C95,18,27
C116D92,21,27
C104N34,20,27
C120R14,18,27
C120H80,21,27
C121A48,21,27
C128G59,20,27
C117R73,21,27
C120F68,20,27
C123X29,20,27
C120R12,20,27
C123M19,21,27
C123H47,20,27
C120S57,18,27
C118A81,20,27
C121M56,20,27
C123E33,20,27
C108W48,21,27
C102E72,20,27
C103Q58,18,27
C109J61,21,27
C120B37,21,27
C105W36,20,27
C118B74,21,27
C120Q62,20,27
C123Y57,21,27
C121N58,20,27
C120D19,18,27
C123E30,21,27
C120P64,20,27
C120H90,20,27
C120Q19,20,27
C120Q38,20,27
C119W20,20,27
C120M17,20,27
C121P62,20,27
C120T84,20,27
C121H96,21,27
C116Z53,18,27
C115Z26,19,27
C115W72,21,27
C112B65,20,27
C121H54,21,27
C122E51,21,27
C125M37,20,27
C120X74,21,27
C125B83,20,27
C120E70,18,27
C113B19,20,27
C118M12,20,27
C121P95,18,27
C113H39,18,27
C121B65,21,27
C116E43,20,27
C108Q99,21,27
C121D96,21,27
C113W84,20,27
C120Y45,21,27
C116R16,21,27
C120K60,21,27
C116J35,18,27
C120F71,21,27
C118V80,21,27
C119Z23,18,27
C114S19,21,27
C121C64,21,27
C123M29,20,27
C125A75,20,27
C114K36,20,27
C119X19,20,27
C115U35,20,27
