application_id,NewChoice,Old_Choice
C106V82,18,21
C100Z56,18,21
C113E43,18,27
C117G82,18,27
C101H78,18,27
C112J18,18,27
C118Y37,18,27
C114N51,18,27
C101K36,18,27
C115T39,18,27
C111M85,18,27
C104Z52,18,27
C112Y68,18,27
C111Z71,18,27
C115N74,18,27
C113C18,18,27
C115Q13,18,27
C108A96,18,27
C105R24,18,27
C112Z66,18,27
C108C17,18,27
C105M21,18,27
C100P38,18,27
C113P86,18,27
C108N37,18,27
C109K65,18,27
C115R47,18,27
C111H13,18,27
C103U27,18,27
C110X55,18,27
C118D95,18,27
C101E62,18,27
C106X76,18,27
C100G11,18,27
C107N24,18,27
C116E68,18,27
C116F17,18,27
C103P81,18,27
C108R23,18,27
C113R96,18,27
C120E43,18,27
C117E71,18,27
C113H81,18,27
C112G50,18,27
C109V10,18,27
C103X55,18,27
C105A86,18,27
C101D93,18,27
C101K93,18,27
C104Z90,18,27
C105D89,18,27
C110C36,18,27
C105W84,18,27
C114U58,18,27
C127P67,18,27
C104V57,18,27
C101J91,18,27
C111E95,18,27
C111A39,18,27
C115P96,18,27
C108V96,18,27
C116B10,18,27
C114C92,18,27
C105P44,18,27
C111H15,18,27
C114U43,18,27
C110T57,18,27
C115M54,18,27
C112Y37,18,27
C100B67,18,27
C111D65,18,27
C117G42,18,27
C109Y60,18,27
C115P95,18,27
C103J32,18,27
C112R52,18,27
C108T32,18,27
C118A13,18,27
C100X11,18,27
C116D82,18,27
C109J30,18,27
C116A65,18,27
C116D34,18,27
C105D55,18,27
C104F90,18,27
C116Q24,18,27
C105N89,18,27
C100T38,18,27
C115R62,18,27
C113Z90,18,27
C102M79,18,27
C119Y38,18,27
C116J27,18,27
C115T15,18,27
C106X80,18,27
C112B84,18,27
C121U51,18,27
C102Y93,18,27
C105G51,18,27
C106X86,18,27
C112U14,18,27
C100M44,18,27
C110X70,18,27
C103E77,18,27
C113P73,18,27
C113P69,18,27
C116C18,18,27
C112R54,18,27
C108W38,18,27
C117Y28,18,27
C115N61,18,27
C100B70,18,27
C113A53,18,27
C110Q43,18,27
C103F59,18,27
C109V33,18,27
C112R23,18,27
C101J15,18,27
C114N37,18,27
C113C69,18,27
C102W25,18,27
C117B69,18,27
C110F35,18,27
C113P66,18,27
C102C66,18,27
C110P98,18,27
C116V43,18,27
C103E44,18,27
C106B48,18,27
C100G32,18,27
C100K96,18,27
C104H91,18,27
C113P65,18,27
C113H10,18,27
C104R12,18,27
C100C81,18,27
C104Y46,18,27
C102C89,18,27
C100N82,18,27
C102Y91,18,27
C100K45,18,27
C118P57,18,27
C114H19,18,27
C104C10,18,27
C106X43,18,27
C114N25,18,27
C110Z68,18,27
C116Z28,18,27
C113V49,18,27
C114B90,18,27
C118G78,18,27
C119M83,18,27
C103R20,18,27
C114X54,18,27
C113H39,18,27
C101K33,18,27
C115S91,18,27
C117H83,18,27
C128T77,18,27
C104A87,18,27
C123X31,18,27
C111S85,18,27
C100D63,18,27
C105B15,18,27
C110U18,18,27
C101Z42,18,27
C103B96,18,27
C105R25,18,27
C116P47,18,27
C112H23,18,27
C102E47,18,27
C103Z51,18,27
C112W91,18,27
C116R70,18,27
C127U10,18,27
C113H99,18,27
C110T25,18,27
C111C34,18,27
C103U28,18,27
C100Z64,18,27
C114Z10,18,27
C104Q59,18,27
C114Q46,18,27
C117N69,18,27
C113T60,18,27
C104C55,18,27
C117G83,18,27
C128B63,18,27
C112R66,18,27
C116P75,18,27
C114W36,18,27
C111C12,18,27
C111P43,18,27
C113S35,18,27
C114P32,18,27
C113Z66,18,27
C111Z70,18,27
C113J68,18,27
C106M96,18,27
C104P70,18,27
C125G69,19,27
C109J36,19,27
C128S52,19,27
C116A87,19,27
C111Q79,19,27
C106R98,19,27
C105X34,19,27
C121G41,19,27
C118A96,19,27
C114Y33,19,27
C115X14,19,27
C112N75,19,27
C118W18,19,27
C105N66,19,27
C125G68,19,27
C104D35,19,27
C125Q21,19,27
C103G70,19,27
C117K47,19,27
C122K71,19,27
C104K80,19,27
C113P26,19,27
C119F78,19,27
C109N56,19,27
C102G31,19,27
C111E33,19,27
C115Y26,19,27
C101G94,19,27
C114R38,19,27
C119W23,19,27
C104P30,19,27
C128A30,19,27
C118J11,19,27
C103E10,19,27
C104F45,20,27
C120F36,20,27
C108V89,20,27
C111E38,20,27
C111E23,20,27
C111T85,20,27
C110H75,20,27
C109K34,20,27
C113A32,20,27
C114K98,20,27
C109B28,20,27
C113C85,20,27
C111T95,20,27
C113T51,20,27
C114W98,20,27
C112C91,20,27
C109T26,20,27
C112K11,20,27
C112P39,20,27
C110X44,20,27
C111F87,20,27
C117C86,20,27
C103P80,20,27
C122S30,20,27
C114J13,20,27
C104H43,20,27
C111C48,20,27
C115Z44,20,27
C111D15,20,27
C114B31,20,27
C106U38,20,27
C112B83,20,27
C114W82,20,27
C107D60,20,27
C112Y86,20,27
C106H53,20,27
C121X80,20,27
C115S60,20,27
C107E66,20,27
C109S13,20,27
C114B17,20,27
C112B50,20,27
C109K80,20,27
C105F53,20,27
C112S42,20,27
C112B68,20,27
C106Q88,20,27
C103P14,20,27
C114D28,20,27
C100Q69,20,27
C113N32,20,27
C100F81,20,27
C112C39,20,27
C112E45,20,27
C110K27,20,27
C113F15,20,27
C100R86,20,27
C113J95,20,27
C113B61,20,27
C118C80,20,27
C103M53,20,27
C112Q39,20,27
C112V71,20,27
C104E70,20,27
C110H29,20,27
C113F74,20,27
C113N89,20,27
C113G13,20,27
C113B45,20,27
C111D45,20,27
C111E64,20,27
C113X48,20,27
C111V62,20,27
C112E81,20,27
C113F62,20,27
C100V67,20,27
C101Q89,20,27
C108K64,20,27
C103M85,20,27
C100H44,20,27
C101S24,20,27
C101D18,20,27
C105T30,20,27
C101E80,20,27
C103N12,20,27
C128K81,20,27
C100V55,20,27
C104H57,20,27
C104G24,20,27
C102N26,20,27
C104Y36,20,27
C101X33,20,27
C102B18,20,27
C102P55,20,27
C109G49,20,27
C101Y84,20,27
C105U16,20,27
C104R86,20,27
C102Q83,20,27
C103B12,20,27
C117Z16,20,27
C101K24,20,27
C111E61,20,27
C104U60,20,27
C106U71,20,27
C106T24,20,27
C106R35,20,27
C102D16,20,27
C117C24,20,27
C104M72,20,27
C101U39,20,27
C102C81,20,27
C105M24,20,27
C113E52,20,27
C105M70,20,27
C103U75,20,27
C100A37,20,27
C103X18,20,27
C106Z29,20,27
C101Q42,20,27
C111D20,20,27
C109N99,20,27
C102B31,20,27
C104R33,20,27
C104A88,20,27
C105X55,20,27
C101M72,20,27
C102A35,20,27
C104P76,20,27
C103C20,20,27
C109M10,20,27
C102U96,20,27
C104A79,20,27
C104P51,20,27
C106A15,20,27
C110Q60,20,27
C100H46,20,27
C101Q53,20,27
C101T95,20,27
C102B34,20,27
C100N16,20,27
C101W50,20,27
C109F51,20,27
C100Q87,20,27
C104S72,20,27
C104V30,20,27
C101H49,20,27
C102P52,20,27
C100T46,20,27
C101X82,20,27
C106R33,20,27
C102G91,20,27
C121R18,20,27
C127P19,20,27
C108Z53,20,27
C104J15,20,27
C101G43,20,27
C100A54,20,27
C105V40,20,27
C102T89,20,27
C112P50,20,27
C112N24,20,27
C110Q23,20,27
C100S30,20,27
C101R82,20,27
C103A24,20,27
C102P97,20,27
C105V61,20,27
C103B94,20,27
C103T19,20,27
C103K26,20,27
C105U60,20,27
C100R26,20,27
C103G98,20,27
C102G72,20,27
C103J65,20,27
C103J87,20,27
C106D66,20,27
C100A28,20,27
C110A46,20,27
C111D76,20,27
C111D27,20,27
C111N58,20,27
C107Z41,20,27
C100Z58,20,27
C103T45,20,27
C105Q41,20,27
C115E57,20,27
C126W84,20,27
C108Y61,20,27
C104G63,20,27
C113R32,20,27
C111D43,20,27
C110K44,20,27
C104P84,20,27
C108P61,20,27
C126J44,20,27
C104K18,20,27
C104N13,20,27
C105X69,20,27
C107K99,20,27
C110P80,20,27
C101E71,20,27
C105C88,20,27
C111K84,20,27
C111V64,20,27
C112E64,20,27
C103N45,20,27
C116J92,20,27
C105Z21,20,27
C111P27,20,27
C111A61,20,27
C107S88,20,27
C110W23,20,27
C108D79,20,27
C112Y13,20,27
C109N28,20,27
C112M18,20,27
C116D89,20,27
C111K20,20,27
C102A78,20,27
C108Q40,20,27
C101Z92,20,27
C111D90,20,27
C102B90,20,27
C113S36,20,27
C116J52,20,27
C101H58,20,27
C110Q18,20,27
C103D60,20,27
C106T74,20,27
C103A30,20,27
C104K14,20,27
C107X72,20,27
C104W40,20,27
C101C87,20,27
C103Q26,20,27
C110D83,20,27
C112P70,20,27
C112N56,20,27
C105A84,20,27
C127U35,20,27
C103S35,20,27
C107Z63,20,27
C102F37,20,27
C106X63,20,27
C105S92,20,27
C105D78,20,27
C104F65,20,27
C110F27,20,27
C107K17,20,27
C105Z57,20,27
C102A70,20,27
C100Q23,20,27
C104S80,20,27
C104A59,20,27
C109S68,20,27
C111K21,20,27
C110N24,20,27
C109W33,20,27
C109Y70,20,27
C116S69,20,27
C110N33,20,27
C100A40,20,27
C110E10,20,27
C102U74,20,27
C114B35,20,27
C106S20,20,27
C113V54,20,27
C124F38,20,27
C111C91,20,27
C100M77,20,27
C125G80,20,27
C102B56,20,27
C107U55,20,27
C113T78,20,27
C102R16,20,27
C106A81,20,27
C108V36,20,27
C108W39,20,27
C104C42,20,27
C113X93,20,27
C104F22,20,27
C125N63,20,27
C120T72,20,27
C118B61,20,27
C120F79,20,27
C118M10,20,27
C101F44,20,27
C124M10,20,27
C125Y43,20,27
C126C15,20,27
C113X45,20,27
C104Q80,20,27
C112P78,20,27
C115T44,20,27
C106X73,20,27
C112Y88,20,27
C108P19,20,27
C126C64,20,27
C118U71,20,27
C117F79,20,27
C123R16,20,27
C124R89,20,27
C122N69,20,27
C121H13,20,27
C106W72,20,27
C124Z74,20,27
C111J86,20,27
C115X51,20,27
C121G42,20,27
C108E97,20,27
C116R49,20,27
C107M81,20,27
C126G65,20,27
C120Q19,20,27
C115Q95,20,27
C111X39,20,27
C116C45,20,27
C115T81,20,27
C126A41,20,27
C117M61,20,27
C119F59,20,27
C116D61,20,27
C112H31,20,27
C113W91,20,27
C100V63,20,27
C126Q21,20,27
C105F84,20,27
C114N99,20,27
C114Y62,20,27
C120W97,20,27
C116F59,20,27
C113R76,20,27
C120T65,20,27
C106U37,20,27
C110X54,20,27
C113E75,20,27
C110Z84,20,27
C126Q85,20,27
C103V91,20,27
C128T79,20,27
C116F16,20,27
C123G60,20,27
C118U50,20,27
C100U29,20,27
C119R38,20,27
C120H54,20,27
C112Q91,20,27
C123F26,20,27
C117B20,20,27
C121V88,20,27
C116X59,20,27
C122Q80,20,27
C119P92,20,27
C109K44,20,27
C117F83,20,27
C109T92,20,27
C123U13,20,27
C124T55,20,27
C110G58,20,27
C109F41,20,27
C126H81,20,27
C124R34,20,27
C119D62,20,27
C120H92,20,27
C112Q66,20,27
C116G51,20,27
C122B83,20,27
C119E25,20,27
C111J56,20,27
C101A38,20,27
C120Q99,20,27
C116T55,20,27
C120V92,20,27
C127T34,20,27
C123V39,20,27
C112A46,20,27
C125F49,20,27
C109E91,20,27
C105B40,20,27
C114A97,20,27
C111Q19,20,27
C106U23,20,27
C118U67,20,27
C117X63,20,27
C117A47,20,27
C116P45,20,27
C119M81,20,27
C128V96,20,27
C107Z39,20,27
C116M12,20,27
C118X45,20,27
C122Y29,20,27
C111J77,20,27
C104H51,20,27
C119R82,20,27
C124T76,20,27
C105U81,20,27
C119M61,20,27
C111T82,20,27
C100V93,20,27
C107A61,20,27
C121C11,20,27
C118X44,20,27
C124A64,20,27
C126C55,20,27
C118C39,20,27
C105W58,20,27
C110T49,20,27
C123D58,20,27
C108Y56,20,27
C112D26,20,27
C106K66,20,27
C114P90,20,27
C126Z36,20,27
C121W68,20,27
C107Y83,20,27
C114A94,20,27
C128K20,20,27
C106Q96,20,27
C102U47,20,27
C109Z32,20,27
C101P22,20,27
C126Y30,20,27
C128K77,20,27
C107Z51,20,27
C123Y52,20,27
C122P43,20,27
C126R22,20,27
C118V11,20,27
C102R83,20,27
C113W84,20,27
C110R99,20,27
C114V19,20,27
C127Y55,20,27
C104N79,20,27
C124A85,20,27
C120U17,20,27
C128P87,20,27
C104D62,20,27
C115F67,20,27
C120M21,20,27
C112B65,20,27
C127C94,20,27
C127W49,20,27
C114K65,20,27
C117B59,20,27
C106Y86,20,27
C114K26,20,27
C120B77,20,27
C110Z75,20,27
C109G97,20,27
C106U98,20,27
C113W81,20,27
C102A66,20,27
C114K69,20,27
C121U28,20,27
C126E82,20,27
C112N77,20,27
C114B41,20,27
C111E73,20,27
C114N56,20,27
C103W74,20,27
C116H59,20,27
C121H45,20,27
C110T54,20,27
C118N57,20,27
C114H83,20,27
C126B22,20,27
C116P46,20,27
C120F68,20,27
C127R80,20,27
C117S39,20,27
C111Q53,20,27
C113D41,20,27
C116K44,20,27
C120T84,20,27
C115N12,20,27
C118A81,20,27
C115F43,20,27
C120H18,20,27
C126N13,20,27
C115P74,20,27
C121B75,20,27
C104N34,20,27
C124B36,20,27
C128G59,20,27
C110T13,20,27
C126G90,20,27
C120C95,20,27
C127H18,20,27
C128F59,20,27
C126Q20,20,27
C112T29,20,27
C108W67,20,27
C115K77,20,27
C115Q97,20,27
C120Q38,20,27
C122B40,20,27
C115Q56,20,27
C100S91,20,27
C128Q38,20,27
C100N89,21,27
C102R91,21,27
C118V80,21,27
C115X94,21,27
C103J78,21,27
C123K40,21,27
C110R85,21,27
C123R88,21,27
C109U76,21,27
C119V78,21,27
C101S79,21,27
C122G87,21,27
C122D87,21,27
C120V86,21,27
C121S34,21,27
C104D53,21,27
C112N22,21,27
C121X96,21,27
C115E64,21,27
C102D72,21,27
C115G41,21,27
C121K17,21,27
C120V26,21,27
C123P79,21,27
C118Y76,21,27
C114Q89,21,27
C106H51,21,27
C115T16,21,27
C100Z16,21,27
C106B81,21,27
C122V67,21,27
C116C30,21,27
C117C32,21,27
C113C86,21,27
C103B75,21,27
C120Z87,21,27
C112E56,21,27
C121K60,21,27
C122Z70,21,27
C124C80,21,27
C118F61,21,27
C101T55,21,27
C102W20,21,27
C106W74,21,27
C119E80,21,27
C103S75,21,27
C123Z33,21,27
C122H94,21,27
C116J31,21,27
C120Z49,21,27
C111T16,21,27
C106C64,21,27
C109T62,21,27
C112U57,21,27
C120V31,21,27
C108J77,21,27
C108Z64,21,27
C120J51,21,27
C104G82,21,27
C105Z26,21,27
C127W78,21,27
C100P17,21,27
C124F36,21,27
C100R92,21,27
C109D54,21,27
C109E71,21,27
C101X74,21,27
C102W35,21,27
C126P56,21,27
C102A34,21,27
C107P95,21,27
C110N51,21,27
C106E34,21,27
C102C21,21,27
C105Z71,21,27
C109T56,21,27
C105R95,21,27
C115J28,21,27
C100H67,21,27
C107C56,21,27
C108K53,21,27
C120Z23,21,27
C100Z26,21,27
C103C36,21,27
C108D58,21,27
C114S18,21,27
C113X44,21,27
C112M27,21,27
C123Z98,21,27
C106M71,21,27
C101P32,21,27
C104Q22,21,27
C121A30,21,27
C100S80,21,27
C100B22,21,27
C104V64,21,27
C104V67,21,27
C102C31,21,27
C124Q70,21,27
C115T49,21,27
C117E82,21,27
C127V94,21,27
C117P96,21,27
C128K24,21,27
C121G70,21,27
C102U65,21,27
C114Y19,21,27
C121A65,21,27
C128J17,21,27
C104B61,21,27
C127Q84,21,27
C128Q88,21,27
C105E83,21,27
C117P34,21,27
C104Q20,21,27
C115E63,21,27
C102P12,21,27
C104X80,21,27
C117C16,21,27
C121A24,21,27
C105X70,21,27
C123G25,21,27
C126J82,21,27
C125Y13,21,27
C124H79,21,27
C100Z18,21,27
C107Y49,21,27
C106W96,21,27
C123R51,21,27
C106K88,21,27
C123C19,21,27
C101F23,21,27
C117A39,21,27
C122P19,21,27
C108G78,21,27
C104Q35,21,27
C117G10,21,27
C117S40,21,27
C125Q41,21,27
C126U17,21,27
C110A66,21,27
C118W71,21,27
C117C13,21,27
C125M17,21,27
C105Z34,21,27
C105P32,21,27
C101W33,21,27
C100S45,21,27
C100A33,21,27
C105P58,21,27
C122U28,21,27
C117J48,21,27
C122P12,21,27
C126T75,21,27
C101T59,21,27
C104T36,21,27
C109B78,21,27
C105V75,21,27
C105W37,21,27
C117J20,21,27
C117R70,21,27
C105W64,21,27
C104U35,21,27
C103W43,21,27
C116K32,21,27
C121P65,21,27
C101P27,21,27
C117S62,21,27
C112Q19,21,27
C113D76,21,27
C111G39,21,27
C115T48,21,27
C127P37,21,27
C106X88,21,27
C113A84,21,27
C111E90,21,27
C112E85,21,27
C112N59,21,27
C112N25,21,27
C106Y33,21,27
C103T27,21,27
C120H41,21,27
C106N72,21,27
C127Q86,21,27
C110U37,21,27
C107U26,21,27
C111M47,21,27
C107G18,21,27
C112M98,21,27
C111U83,21,27
C111Q85,21,27
C107A57,21,27
C114M62,21,27
C113H11,21,27
C113T73,21,27
C105H43,21,27
C111P55,21,27
C114S16,21,27
C103G14,21,27
C112A16,21,27
C115T68,21,27
C115T69,21,27
C110F47,21,27
C111D23,21,27
C116H23,21,27
C116V75,21,27
C102Y72,21,27
C108N27,21,27
C108M51,21,27
C108W48,21,27
C110G91,21,27
C115S18,21,27
C111C92,21,27
C103T38,21,27
C112K96,21,27
C112J60,21,27
C115M40,21,27
C111Q78,21,27
C111F23,21,27
C117U31,21,27
C108S29,21,27
C116X74,21,27
C115T66,21,27
C112Z19,21,27
C111G31,21,27
C116X82,21,27
C111J37,21,27
C114S20,21,27
C116A92,21,27
C113V56,21,27
C114V73,21,27
C114S17,21,27
C115T67,21,27
C121Y67,21,27
C106S77,21,27
C109T21,21,27
C127X19,21,27
C114X21,21,27
C110B23,21,27
C113Y12,21,27
C114M79,21,27
C111G26,21,27
C113Q90,21,27
C113B58,21,27
C109V83,21,27
C114Y24,21,27
C114X74,21,27
C106M93,21,27
C110C68,21,27
C113W54,21,27
C114S12,21,27
C118E82,21,27
C114K95,21,27
C117E77,21,27
C114X29,21,27
C111A21,21,27
C114T55,21,27
C114F84,21,27
C114U69,21,27
C101N80,21,27
C114H17,21,27
C116W54,21,27
C101A50,21,27
C104M23,21,27
C112J92,21,27
C114N28,21,27
C101G32,21,27
C111E49,21,27
C114F12,21,27
C107V57,21,27
C114A48,21,27
C114Y23,21,27
C114F76,21,27
C108A89,21,27
C113Q60,21,27
C103Y80,21,27
C118U48,21,27
C113U78,21,27
C118C41,21,27
C117S10,21,27
C114H20,21,27
C114E31,21,27
C109M57,21,27
C114N93,21,27
C114J97,21,27
C122T34,21,27
C114N71,21,27
C104Q93,21,27
C117R53,21,27
C111X63,21,27
C101U19,21,27
C108A77,21,27
C114V14,21,27
C110S41,21,27
C113A39,21,27
C110E49,21,27
C101N96,21,27
C113Q27,21,27
C108U99,21,27
C109T55,21,27
C106P83,21,27
C108W66,21,27
C120B37,21,27
C108D47,21,27
C108Z91,21,27
C106G50,21,27
C108Y80,21,27
C109V22,21,27
C108N72,21,27
C111K83,21,27
C113V89,21,27
C110B63,21,27
C111Q24,21,27
C117P29,21,27
C109P99,21,27
C109T60,21,27
C119Y72,21,27
C107F40,21,27
C110G76,21,27
C105W52,21,27
C113Z99,21,27
C113C72,21,27
C109Q72,21,27
C109M11,21,27
C102Z43,21,27
C103P19,21,27
C100M28,21,27
C107K16,21,27
C114S19,21,27
C108H21,21,27
C120K60,21,27
C120F71,21,27
C117R90,21,27
C117E17,21,27
C107U13,21,27
C106M52,21,27
C108H65,21,27
C121C64,21,27
C107D16,21,27
C121H96,21,27
C106C27,21,27
C121B65,21,27
C122E51,21,27
C100G30,21,27
C108H22,21,27
C105A34,21,27
C103N54,21,27
C120H80,21,27
C114D38,21,27
C121A48,21,27
C108C81,21,27
C108G62,21,27
C118G47,21,27
C105U94,21,27
C100F77,21,27
C121D96,21,27
C106K87,21,27
C110G10,21,27
C108N43,21,27
C109T59,21,27
C100P69,21,27
C111H51,21,27
C114Y29,21,27
C109T58,21,27
C104J89,21,27
C117R72,21,27
C119H90,21,27
C111Q16,21,27
C111T41,21,27
C109F33,21,27
C111B38,21,27
C110U89,21,27
C107X92,21,27
C110T78,21,27
C113Y39,21,27
C126K83,21,27
C118B84,21,27
C117A82,21,27
C125P53,21,27
C109C21,21,27
C113D39,21,27
C117P90,21,27
C108T97,21,27
C106P24,21,27
C118U73,21,27
C120W85,21,27
C103X39,21,27
C119J27,21,27
C104R22,21,27
C110U55,21,27
C118E32,21,27
C109T82,21,27
C102C70,21,27
C117P95,21,27
C110C83,21,27
C111B49,21,27
C100U83,21,27
C100A73,21,27
C118Q32,21,27
C111Z73,21,27
C110N79,21,27
C106J92,21,27
C110G74,21,27
C110Q51,21,27
C102C61,21,27
C110A64,21,27
C119R52,21,27
C118Q64,21,27
C104S93,21,27
C109T57,21,27
C113G15,21,27
C106P21,21,27
C110M43,21,27
C114P33,21,27
C105Y44,21,27
C110V53,21,27
C110Q53,21,27
C109F39,21,27
C110R53,21,27
C117C31,21,27
C110Q52,21,27
C110K24,21,27
C101W72,27,19
C103V57,27,19
C103N10,27,19
C128S19,27,19
C108F46,27,19
C108Y38,27,19
C101Z72,27,19
C104P60,27,19
